Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),23.03.02,Наземные транспортно-технологические комплексы,Автомобилестроение и автосервис,211,МИР,20,210000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),11.03.01,Радиотехника,Радиофизика и электроника,204,МИР,40,210000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),01.03.05,Статистика,Статистика,Бюджет только с этого года,МИР,20,190000,170,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),11.03.02,Инфокоммуникационные технологии и системы связи,Оптические телекоммуникационные системы,209,МИР,40,210000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),15.03.01,Машиностроение,Инновационные технологии электрофизических и электрохимических процессов обработки материалов,216,МИР,21,210000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),16.03.01,Техническая физика,Полупроводниковая фотоника и наноэлектроника,194,МИР,28,240000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),11.03.04,Электроника и наноэлектроника,Радиофизика и электроника,211,МИР,40,210000,155,О
Санкт-Петербургский политехнический университет Петра Великого (СПбПУ),15.03.01,Машиностроение,Интеллектуальная трибология в машиностроении,216,МИР,21,210000,155,О
Российский государственный гидрометеорологический университет (РГГМУ),05.03.04,Гидрометеорология,Метеорология,153,МИР,25,221690,119,О
Российский государственный гидрометеорологический университет (РГГМУ),38.03.05,Бизнес-информатика,Бизнес-информатика,Бюджет только с этого года,МИР,3,63220,146,"О, ОЗ"
Российский государственный гидрометеорологический университет (РГГМУ),38.03.04,Государственное и муниципальное управление,Государственное и муниципальное управление,Бюджет только с этого года,МИР,3,63220,144,"О, ОЗ"
Российский государственный гидрометеорологический университет (РГГМУ),38.03.02,Менеджмент,Менеджмент организации,Бюджет только с этого года,МИР,3,63220,123,"О, ОЗ"
Российский государственный гидрометеорологический университет (РГГМУ),05.03.05,Прикладная гидрометеорология,Прикладная метеорология,167,МИР,99,51820,135,"З, О"
Российский государственный гидрометеорологический университет (РГГМУ),05.03.05,Прикладная гидрометеорология,Прикладная гидрология,154,МИР,71,51820,119,"З, О"
Российский государственный гидрометеорологический университет (РГГМУ),05.03.05,Прикладная гидрометеорология,Прикладная океанология,125,МИР,74,51820,119,"З, О"
